tweets,source
WATCH: President Elect Trump Went LIVE And Completely Exposed Sharpton For The Crook That He Is!… https://t.co/fonD2ygKb7,<a href="http://www.facebook.com/twitter" rel="nofollow">Facebook</a>
RT @aravosis: Trump and Russians use same talking point to disparage CIA Congress over hacks https://t.co/gxQfvP0LnL via @AMERICAblog http…,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>
RT @mccanner: Arnold Schwarzenegger the former governor of California is subtweeting President-elect Donald Trump. Explain that sentence…,<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>
RT @BettyBowers: Alert: @SarahPalinUSA: Shouldn't you be helping Track prepare for a deposition instead of constantly auditioning for Trump…,<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>
RT @WaladShami: White people are so mad at how the white disabled man was tortured in that video but didn't say shit when Trump mocked a di…,<a href="http://www.ajaymatharu.com/" rel="nofollow">Tweet Old Post</a>
RT @CNN: Joe Biden to Trump: 'Grow up Donald' https://t.co/dN4V6ntbkP https://t.co/BS4kUfM5HQ,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>
RT @TruthFeedNews: BREAKING : Trump Inauguration Singer Jackie Evancho Offered Lucrative Record Deal https://t.co/t0r8oaN2EF #maga #trumptr…,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>
More like if Trump does a negative tweet their stock tanks. It's fear more than support https://t.co/AGRdfPJQgG,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>
RT @justinjm1: Trump had the intel briefing.

He still won't say Russia did it. 

https://t.co/L0yCnfxhBo,<a href="http://www.handmark.com" rel="nofollow">TweetCaster for iOS</a>
RT @LeslieBurt: No Surprise Classified Report on Russia Leaked to Media to Hurt Trump https://t.co/CYEtiFS3qT via @wordpressdotcom,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>
RT @Kat4Obama: Trump "is power-hungry he is a narcissist. He could care less about...the American people." https://t.co/2OXbKcAciO,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>
"Kerry Lists Obama Era’s Diplomatic Successes. (Trump Opposes Them All.)" by RUSSELL GOLDMAN via NYT The New York … https://t.co/UkWouEnVtu,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>
RT @Trump_World: "My superpac? The american people!"
@realDonaldTrump 
GO TRUMP!
WE GOT YOUR BACK!
#MakeAmericaGreatAgain
#Trump2016 https:…,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>
RT @LouDobbs: Incredible: Intelligence Leaders Aren't Acting Very Smart. Mr. Trump's Right--This Conduct Isn't Acceptable  #MAGA #TrumpTrai…,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>
RT @nytimes: Joe Biden responded to Democrats' challenging a Trump presidency with a stoic "It is over" https://t.co/qisLYRTcT7,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>
RT @oliviawilde: If only he cared about this as much as the Apprentice ratings.  https://t.co/oByivcrHU7,<a href="http://ifttt.com" rel="nofollow">IFTTT</a>
If y'all mad at Trump doing Trump shit y'all gonna have a long 4 years,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>
@hunterpresident can you release statement?

Brooklynite who heckled Ivanka is silent when confronted by reporter https://t.co/WzizDjq1qj,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>
RT @nytimes: Breaking News: Donald Trump called the storm around Russian hacking before the election "a political witch hunt” https://t.co/…,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>
RT @KeithOlbermann: The calm yelling-free video to send to the Trump supporter you know about the Trump psychosis crisis soon to come htt…,<a href="http://bufferapp.com" rel="nofollow">Buffer</a>
RT @sarahkendzior: Trump is defending Wikileaks who is threatening to reveal info on private citizens. Soon Trump will have access to all…,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>
RT @Blurred_Trees: Found this gem from the Father of Scientific Climatology. It reads like Trump in the debates - WRONG! See excerpt 👇🏻http…,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>
RT @TeaPainUSA: Trumpers now deny that Trump promised to make Mexico "pay for the wall."  Share this new technology called "video."  https:…,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>
RT @mccanner: Arnold Schwarzenegger the former governor of California is subtweeting President-elect Donald Trump. Explain that sentence…,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>
RT @Green_Footballs: UPDATE: Declassified DNI report makes clear: Trump’s claim that Russia had “no effect” on the election is bullshit htt…,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>
RT @chochos: Saqueos en México tiroteos en Florida Trump presidente y hoy se escuchan estas trompetas en el cielo. Qué miedo. https://t.…,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>
RT @RonaldKlain: If Trump believes he will collect from Mexico the billionaire should PERSONALLY pay for the wall & get paid back.. https:…,<a href="http://www.facebook.com/twitter" rel="nofollow">Facebook</a>
@harriekd @Lily60tomTom @kylegriffin1 Trump took the GOP clowncar threw out everyone else put his staff in and created a shitstorm inside,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>
RT @bentaub91: Trump's DC hotel owes more than $5000000 to electricians wood workers and a plumbing and heating business https://t.co/y…,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>
RT @CNNEE: Trump: "Estoy monitoreando la terrible situación en Florida. Mis oraciones para todos. ¡Manténgase a salvo!". https://t.co/9vLUe…,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>
RT @LouDobbs: .@CharlesHurt “Partisanship is never trying to get the truth. Trump couldn’t care less about party…he's going in and asking h…,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>
RT @RonWyden: After January 20 will Trump be personally directing  investigations whenever a news story annoys him? https://t.co/DINxJ72frR,<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>
RT @ScottPresler: Democrats tried everything they could to stop Trump:

Riots...failed.
Recounts...failed.
#ElectoralCollege death threats.…,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>
